device_id,num_io,read_count,write_count
798,58771,223,58548
999,58285,21769,36516
993,56186,21753,34433
966,54350,304,54046
978,53194,21658,31536
897,53183,22075,31108
950,52946,327,52619
988,52225,21567,30658
985,51684,20050,31634
989,51529,21748,29781
888,50789,22057,28732
986,49726,21713,28013
896,48677,21702,26975
977,48550,21562,26988
976,47843,21649,26194
900,47281,21778,25503
992,46483,21679,24804
817,45521,15547,29974
975,45467,21697,23770
889,45063,22156,22907
895,44874,21576,23298
918,44442,21703,22739
516,44123,7746,36377
984,43303,23200,20103
828,43269,24341,18928
937,42940,32401,10539
932,42875,32799,10076
833,42722,19261,23461
933,42715,32433,10282
846,42356,19726,22630
847,42189,19477,22712
823,41315,31750,9565
904,39125,24498,14627
843,38705,15928,22777
902,38502,24557,13945
845,37889,15496,22393
858,37431,19659,17772
841,37394,14998,22396
829,37250,22256,14994
943,36315,25400,10915
972,35393,26213,9180
856,35365,19252,16113
953,35043,25677,9366
831,34709,15155,19554
941,34404,301,34103
956,34318,25726,8592
934,34296,24496,9800
838,34208,16077,18131
839,34202,16121,18081
901,33579,24538,9041
898,33451,25030,8421
947,33344,25628,7716
852,33294,15040,18254
949,33290,25130,8160
875,33131,19250,13881
944,32938,301,32637
851,32926,14538,18388
855,32722,14864,17858
857,32639,14848,17791
924,32517,23965,8552
866,32456,16024,16432
862,31654,15034,16620
854,31463,14397,17066
864,31228,15061,16167
873,30342,19729,10613
867,30095,14455,15640
882,28611,14843,13768
865,28454,14895,13559
880,28352,14592,13760
861,28308,14169,14139
885,28112,15574,12538
886,27894,14705,13189
878,27677,15918,11759
881,27598,13931,13667
960,27449,299,27150
884,27135,14780,12355
807,26903,0,26903
951,24879,299,24580
887,23698,14447,9251
948,22103,298,21805
911,21896,298,21598
955,19273,298,18975
971,19269,256,19013
973,19239,322,18917
935,18782,297,18485
526,18697,30,18667
300,18584,30,18554
926,18552,297,18255
936,18525,297,18228
775,18457,0,18457
684,17346,0,17346
894,17249,320,16929
353,17132,22,17110
830,17131,296,16835
419,16501,28,16473
987,16382,294,16088
928,16149,295,15854
927,16049,295,15754
952,15895,296,15599
954,14999,295,14704
891,13704,296,13408
821,13435,13144,291
961,12903,319,12584
963,12864,295,12569
297,11517,0,11517
448,11247,20,11227
89,11232,18,11214
914,10205,294,9911
848,7671,303,7368
853,7544,209,7335
863,7427,210,7217
850,7400,210,7190
876,7353,209,7144
842,7346,234,7112
836,7329,233,7096
872,7317,233,7084
870,7304,233,7071
844,7300,226,7074
859,7219,226,6993
883,7218,209,7009
835,7210,233,6977
834,7185,234,6951
832,7171,209,6962
837,7116,226,6890
868,7114,226,6888
879,7111,224,6887
877,7100,234,6866
860,7098,209,6889
874,7096,224,6872
869,7084,228,6856
840,7079,227,6852
849,7063,210,6853
871,7005,293,6712
822,6306,6306,0
802,5086,0,5086
812,3167,0,3167
805,2797,3,2794
820,2252,6,2246
979,1551,1542,9
980,1551,1542,9
803,1304,0,1304
890,1091,7,1084
892,1017,344,673
758,836,120,716
816,403,0,403
811,240,240,0
819,178,178,0
818,120,118,2
809,51,0,51
893,5,2,3
