device_id,num_io,read_count,write_count,ts_max,ts_min,duration,avg_offset,avg_size,write_percentage,read_percentage
61,14455739,150887,14304852,1580486398889741,1577808000020732,2678398869009,65563984984,37100.72565,0.9895621386,0.01043786139
36,14443389,151105,14292284,1580486399702839,1577808000006893,2678399695946,92282076401,37463.8092,0.9895381202,0.01046187983
751,14440273,4780744,9659529,1580486399921112,1577808004303278,2678395617834,90703396403,343974.5092,0.6689298049,0.3310701951
109,14415962,145563,14270399,1580486399477934,1577808000069423,2678399408511,106319006652,36722.62654,0.989902651,0.01009734904
130,14405136,149049,14256087,1580486395807671,1577808000097797,2678395709874,79542555465,36768.72859,0.9896530654,0.01034693459
248,14395113,155816,14239297,1580486398219416,1577808000344946,2678397874470,88030435549,38102.55381,0.989175771,0.01082422903
59,14394591,153926,14240665,1580486397182365,1577808000016696,2678397165669,84257796615,37792.26249,0.9893066778,0.01069332223
211,14391518,254628,14136890,1580486397227084,1577808000234121,2678396992963,37384486455,8058.989671,0.9823070784,0.01769292162
106,14375371,146369,14229002,1580486397547122,1577808000066031,2678397481091,70009137440,36228.91328,0.9898180715,0.01018192852
749,14370069,4757730,9612339,1580486398299365,1577808004103464,2678394195901,94597203511,343635.1198,0.6689139071,0.3310860929
538,14348493,4743581,9604912,1580486395478061,1577808001430519,2678394047542,90609696228,343713.2665,0.6694021456,0.3305978544
213,14330014,150603,14179411,1580486398971715,1577808000234775,2678398736940,88152041927,37603.16264,0.9894903801,0.01050961988
736,14310021,4730101,9579920,1580486395189321,1577808002977963,2678392211358,96930948895,343289.6536,0.6694553418,0.3305446582
27,14271134,151515,14119619,1580486399979872,1577808000004831,2678399975041,121293961176,38069.25053,0.9893831142,0.01061688581
730,14266259,4722994,9543265,1580486399057533,1577808002740695,2678396316838,95459662372,343241.6994,0.6689395587,0.3310604413
47,14244300,149038,14095262,1580486398525103,1577808000010886,2678398514217,119151079580,37366.68226,0.9895370078,0.01046299221
221,14242692,4717757,9524935,1580486398998746,1577808000250115,2678398748631,95686916191,342780.0918,0.6687594592,0.3312405408
187,14170518,152112,14018406,1580486399267762,1577808000183126,2678399084636,81104925571,38002.25558,0.9892656006,0.01073439941
189,14148099,15,14148084,1580486399586944,1577808000185171,2678399401773,17501378147,7988.73004,0.9999989398,0.000001060213107
18,14139817,147673,13992144,1580486396961425,1577808000002939,2678396958486,82918900881,37298.81659,0.9895562298,0.01044377024
345,14120182,4658820,9461362,1.58049E+15,1577808000802863,2678397213897,93282766813,342627.8098,0.6700594936,0.3299405064
731,14116031,4660349,9455682,1580486399559617,1577808002745948,2678396813669,94823890214,342670.2059,0.6698541538,0.3301458462
745,14070720,4642430,9428290,1580486399948902,1577808003624252,2678396324650,91746950054,341890.2985,0.6700645027,0.3299354973
246,14059778,521334,13538444,1580486396432433,1577808000337143,2678396095290,7035732541,19255.19859,0.9629201827,0.03707981733
123,13999040,741,13998299,1580486397625112,1577808000087291,2678397537821,33480747121,8554.447418,0.9999470678,0.00005293220107
759,13984421,4612225,9372196,1580486396050667,1577808004979009,2678391071658,92730116337,342243.3746,0.6701883474,0.3298116526
0,13934482,133631,13800851,1580486397093139,1577808000000046,2678397093093,210416912828,71149.04108,0.990410049,0.009589951029
275,13806345,4543423,9262922,1580486396913462,1577808000440125,2678396473337,91532755815,341293.7738,0.6709177556,0.3290822444
725,13719500,4497601,9221899,1580486395951281,1577808002557795,2678393393486,92042599868,341559.6848,0.672174569,0.327825431
223,13317830,814344,12503486,1580486399666895,1577808000252955,2678399413940,19011740523,127442.5381,0.9388531014,0.06114689856
100,13314727,5011255,8303472,1.58049E+15,1577808000061266,2678399168384,116017098006,24913.00239,0.623630661,0.376369339
132,13199244,9,13199235,1.58049E+15,1577808000103177,2678398957393,18763319314,155518.5723,0.9999993181,0.0000006818572336
90,12934323,54011,12880312,1580486399628048,1577808000049447,2678399578601,12563883002,12929.38199,0.9958242113,0.004175788713
14,12835277,2615742,10219535,1580486399288032,1577808000002503,2678399285529,14964528925,35305.35102,0.7962068135,0.2037931865
316,12733433,1,12733432,1580486398296362,1577808000615618,2678397680744,52504830537,350758.442,0.9999999215,0.00000007853341671
237,12583873,86786,12497087,1580486399647378,1577808000307426,2678399339952,15916894704,10669.94161,0.9931033951,0.006896604885
378,12028376,2498,12025878,1580486398578737,1577808001023595,2678397555142,23840497100,5939.252714,0.9997923244,0.0002076755831
265,11970526,74806,11895720,1580486398283587,1577808000389772,2678397893815,18019057877,18401.78298,0.9937508176,0.006249182367
627,11964125,385,11963740,1580486395273046,1.57781E+15,2678393586056,24317250309,5934.530167,0.9999678205,0.00003217953674
222,11860661,63177,11797484,1.58049E+15,1.57781E+15,2678399621100,37181985531,7514.351934,0.9946733997,0.005326600263
324,11853515,235533,11617982,1580486397247839,1577808000673191,2678396574648,21964398306,6533.639563,0.9801296915,0.01987030851
273,11839437,237564,11601873,1580486395853061,1577808000434618,2678395418443,22259596774,6597.361752,0.9799345188,0.02006548115
395,11815280,216609,11598671,1580486396658869,1.57781E+15,2678395570109,22085807203,6528.537511,0.9816670447,0.01833295529
339,11804032,236741,11567291,1580486399412352,1577808000770232,2678398642120,21785358290,6589.524848,0.9799440564,0.0200559436
191,11796503,235441,11561062,1580486396635628,1577808000193626,2678396442002,22253729429,6545.914321,0.980041458,0.01995854195
446,11776827,515,11776312,1580486397469658,1577808001194317,2678396275341,44225921810,8854.464085,0.9999562701,0.00004372994526
318,11774386,4236,11770150,1.58049E+15,1577808000618343,2678397182967,30304340549,5910.610795,0.999640236,0.0003597639826
401,11758180,224336,11533844,1580486394859449,1577808001100239,2678393759210,22293431663,6578.572746,0.9809208568,0.0190791432
210,11742720,217267,11525453,1580486399567846,1577808000229349,2678399338497,25976415365,6680.013604,0.981497728,0.01850227205
17,11733733,226682,11507051,1580486394230658,1577808000002927,2678394227731,22131959810,6524.085788,0.9806811694,0.01931883059
