volume,count
13102,4263534
13108,4262031
8564,4258751
2444,4254203
22228,4243648
21062,4239272
5054,4239109
17638,4234609
6334,4233881
15724,4232036
15293,4230656
2545,4229280
18588,4229235
18416,4229122
20540,4224748
5908,4224114
5060,4223379
22174,4222290
15146,4222053
10976,4216810
3774,4214826
11714,4212438
6111,4211618
10628,4210416
6402,4204310
4760,4200769
4200,4200731
17645,4200512
5709,4198698
15447,4197687
5326,4192004
10602,4182724
1675,4181234
23834,4179561
15783,4178434
5516,4177532
11354,4176245
4836,4176088
14456,4175728
17593,4175246
20974,4172005
16370,4164848
12518,4164203
9569,4160762
9289,4160086
20547,4157820
4586,4155308
1342,4151680
6965,4150841
11494,4149808
20671,4149115
15692,4146116
2303,4143847
5441,4140706
3809,4140550
15466,4130881
16190,4130560
11046,4126849
17541,4126818
4965,4126230
14637,4124680
6900,4124477
13908,4118256
12802,4115733
18862,4112955
13414,4105887
20291,4104773
9519,4103629
8639,4101667
7579,4101571
9227,4100778
6798,4099496
9253,4099274
20428,4097480
3894,4097300
14722,4095798
23573,4094797
1449,4092916
10676,4092317
9180,4090604
6651,4090262
18377,4088897
9525,4088217
21984,4085297
15895,4084556
8768,4079359
4739,4078634
16618,4078610
9661,4076543
16477,4076369
7367,4072997
22826,4072454
16952,4071447
11778,4069519
8163,4066108
12502,4065741
5116,4065574
5213,4064869
9834,4064867
9798,4062831
19120,4062357
5075,4061572
21661,4061504
13877,4057508
21452,4056050
3616,4055865
20553,4055499
16846,4054765
6751,4054128
3834,4053379
20704,4049232
9462,4047844
13858,4047473
5238,4046250
9951,4043845
5690,4042423
17044,4041588
11027,4040279
8361,4039176
8581,4038429
8046,4035310
12833,4035031
5262,4026616
20101,4025941
19980,4025146
9722,4023332
13586,4022566
17755,4022542
13571,4020705
2840,4019099
4404,4018527
18172,4016822
5777,4016683
13859,4016512
6467,4016298
3410,4013450
12481,4012494
23398,4012210
21977,4009325
4431,4007299
18770,4006044
20106,4005445
17382,4001954
13958,3997268
22158,3996763
15458,3994636
23307,3993327
6151,3990743
23302,3988654
13524,3986222
12485,3982085
4033,3976911
12621,3976898
8861,3975647
12875,3974610
2224,3973292
18283,3972912
21256,3969616
16878,3968154
4613,3967195
4218,3965664
15091,3965318
18265,3962938
7750,3962937
2372,3962930
14291,3962342
5979,3960216
6033,3957915
3069,3953159
2536,3952960
10825,3951100
12341,3950682
15520,3950231
18279,3944802
11904,3944650
10208,3944579
19718,3941500
21544,3939515
11412,3934975
4600,3934708
9732,3933736
8498,3932165
2937,3931442
13635,3929858
11139,3929394
17412,3928626
19345,3928459
15751,3927001
14321,3925656
3039,3924660
16912,3922013
4956,3921930
16508,3920377
14174,3917997
13401,3915337
19067,3914028
13377,3913664
16975,3912023
17007,3906387
2773,3905112
21670,3904770
19827,3901536
13546,3900062
18188,3896744
23952,3896606
12296,3896318
20012,3895232
8053,3894723
18715,3889796
11307,3889623
15247,3889321
11556,3885110
13803,3885027
15888,3884281
4296,3881936
10184,3880363
14511,3877623
8689,3876221
11161,3873052
15529,3870054
19873,3868831
1540,3867753
23336,3865183
7082,3862350
10198,3859614
14795,3857561
2598,3857525
12796,3856009
17202,3853915
4105,3851735
16652,3851300
8471,3850333
17757,3849219
7390,3845926
8648,3843278
13464,3842900
7677,3841588
16337,3841258
19268,3839059
17269,3838979
16177,3837096
18393,3833574
19776,3831993
21942,3829495
5020,3829230
16816,3826942
16920,3824105
7336,3821758
21896,3820373
8779,3818665
2328,3816924
18297,3815124
10496,3813759
10921,3809824
17247,3809040
21235,3807512
19326,3806380
20316,3806272
10961,3803834
19648,3800110
1335,3798856
15765,3797426
21263,3797383
2687,3795166
8706,3794646
7625,3794095
4052,3791921
7867,3782453
8423,3780347
16081,3777928
19422,3774990
7883,3774462
19807,3774128
10703,3773651
23561,3773422
9544,3773165
15985,3770883
17579,3769594
6846,3761385
18781,3761353
8029,3757114
14550,3756586
7784,3755363
7282,3754640
21817,3754171
20600,3752363
17519,3751540
3426,3750891
15057,3749055
11159,3747713
12916,3746733
16678,3745032
1740,3742682
17002,3740289
15123,3737533
22235,3734689
8192,3734230
10897,3730443
13767,3730388
10492,3726429
15407,3725495
18712,3724860
4532,3723577
13016,3723091
14330,3721049
5936,3720288
9099,3717005
3790,3716967
13921,3716867
6275,3715283
8000,3710578
19088,3708375
18974,3703185
4226,3699709
8757,3695643
22717,3695224
13354,3689810
20893,3689602
7463,3686443
3003,3685339
14310,3684155
7841,3682544
4609,3681794
19538,3675323
12820,3672922
5685,3671182
2495,3667098
2644,3666521
13557,3666329
21153,3665716
12257,3665269
15478,3658544
9567,3657104
8834,3657046
12972,3656596
3855,3654855
19611,3654075
15169,3652926
16944,3652305
6499,3651913
2197,3651254
20879,3647214
11295,3646037
3457,3645868
10394,3645178
16083,3644767
14688,3642252
4011,3640093
6261,3640075
13698,3639461
21551,3639456
6764,3638501
16632,3633027
14026,3628778
16153,3627446
21716,3625466
14871,3625351
15653,3623837
8528,3622524
17810,3621178
1659,3620560
20808,3617533
4211,3613776
7931,3612012
14167,3611147
13573,3606686
12945,3604826
13578,3604401
17253,3601450
8173,3600250
6717,3599935
10276,3599203
2712,3598866
16003,3597668
5250,3597319
6222,3596981
12812,3596342
12358,3596240
17988,3595570
8433,3592683
16594,3590744
11500,3590183
4929,3588676
4986,3588518
11885,3585005
18168,3584213
3128,3577501
8523,3577270
16251,3576379
11841,3575689
21931,3575073
1073,3574641
8468,3572848
12390,3566652
8411,3566242
10783,3561190
11488,3560052
7006,3558610
15766,3557981
23319,3557171
10403,3549804
14230,3546708
9171,3539302
18435,3531142
6582,3530011
15512,3525850
7898,3525531
6448,3521581
21277,3519139
12803,3519005
8139,3518746
6865,3515262
3444,3514362
13371,3509826
13046,3509698
19968,3506979
19597,3506320
18851,3504906
8253,3503270
8893,3499677
17585,3497058
22404,3496681
1784,3495672
9612,3494266
6527,3492831
8021,3487102
4675,3485470
23096,3484116
15162,3481824
16999,3481733
14976,3477771
5957,3475171
16017,3475067
4751,3469454
3192,3467567
18462,3467313
11974,3467051
5458,3465855
19214,3463044
1228,3462771
16923,3462740
1874,3461647
13007,3460618
13996,3459064
11906,3457283
17902,3456228
3284,3455111
16699,3453034
23781,3451422
10342,3448078
8747,3447936
21224,3444991
4704,3443046
20043,3442778
20710,3442596
8638,3442389
6158,3438833
20571,3434728
13774,3430725
5274,3430345
2044,3429143
11213,3428737
16526,3427727
9397,3426105
23204,3423727
12566,3423505
19211,3418784
17474,3418034
11945,3417314
13168,3416490
16874,3415462
6013,3414009
3633,3410862
11641,3410133
10203,3407794
6474,3407080
3799,3402055
5018,3401908
13147,3400773
7214,3397031
2092,3396938
18971,3388274
4344,3385475
10747,3385105
7889,3383476
5543,3380546
16382,3380525
18052,3380423
10650,3379152
5623,3377773
13893,3377296
2207,3376041
20969,3374050
1161,3373057
9937,3371445
22364,3369590
12343,3368312
3925,3367236
18560,3366932
6687,3366381
6678,3363812
23399,3361614
7992,3358740
13279,3357979
19390,3357294
15100,3355805
22313,3354624
4900,3351565
13638,3347118
20532,3343800
6108,3341700
14816,3341012
21209,3336402
8390,3335721
17553,3334707
1438,3331799
15027,3329522
23374,3325968
16849,3325906
14611,3324775
18765,3324296
2744,3316808
1924,3316552
23497,3316025
9202,3315107
11587,3314975
13886,3314899
11786,3310785
8417,3307394
11930,3306444
4633,3305183
8912,3303955
14087,3301976
17402,3300980
6831,3298263
2257,3297972
7224,3296919
9231,3295730
22545,3295031
6394,3294644
16109,3293019
6598,3291933
21390,3282999
14542,3282104
19311,3281367
10069,3278507
21541,3276191
5430,3275454
12985,3275316
3596,3272938
7743,3272544
1849,3272425
19618,3270647
10011,3268259
14843,3264249
7279,3263507
15177,3263156
5985,3262649
8425,3262606
22559,3261491
11847,3259042
4998,3251308
23855,3249568
1923,3248248
6547,3247843
14479,3247833
12760,3242353
3847,3239299
5951,3236454
13720,3236186
18617,3235947
5150,3235005
21582,3234319
20675,3234313
15921,3232229
4269,3231226
3641,3230745
17112,3226287
6277,3225034
6350,3224066
4008,3223671
23354,3221289
19410,3219733
7417,3219456
25394,3217990
2377,3217570
10505,3216184
23037,3209085
13580,3208898
6246,3208488
12654,3207538
13113,3206840
2263,3206759
14376,3206556
15926,3202433
17829,3202390
8299,3201454
15199,3198550
14050,3196647
3825,3195980
7487,3195618
10274,3193829
15203,3192657
7615,3190253
21332,3189938
5382,3189792
9388,3189781
20605,3188166
21494,3187099
22392,3183075
1851,3182909
6048,3182596
10689,3181974
11686,3181756
17009,3178794
8618,3177692
9310,3176933
14765,3176759
10858,3174945
17326,3173069
22555,3172939
17818,3171120
20465,3170945
10409,3166360
9413,3165323
15415,3165131
7569,3164885
17824,3164322
19342,3163841
2605,3163650
21369,3162671
15358,3162494
16684,3157322
7169,3156395
11192,3155641
6740,3154673
19184,3153476
16540,3152337
6558,3152049
25697,3150043
12568,3149757
5191,3146665
25630,3144355
3607,3139618
4557,3138440
15754,3136254
7664,3133874
6359,3133735
14460,3131541
7432,3129297
15968,3129144
5221,3128392
24948,3127706
21311,3127155
17742,3126026
8530,3123268
2877,3122001
13033,3121588
8957,3120968
4199,3116162
14903,3114551
17212,3113684
10295,3113246
3060,3112908
21217,3109098
18646,3107332
6637,3106990
3603,3103439
4712,3096960
13594,3096848
21798,3096664
7239,3096349
15420,3095952
23443,3094949
9698,3091995
13945,3091399
8584,3086769
22905,3084183
12374,3080575
19279,3079017
14566,3078537
7943,3076400
14041,3075182
10757,3074440
21532,3073648
15007,3072420
13746,3071664
5335,3070400
11249,3063277
17143,3059936
6233,3059040
2777,3055821
20670,3053634
4046,3053133
15279,3050767
21191,3050522
18348,3050159
1911,3049149
1591,3048062
